Сталь;C;Si;Mn;Cr;Ni;Ti;Al;W;Mo;Nb;V;S;P;Cu;Co;Zr;Be;Se;N;Pb;Fe;Класс;Использование
10Х7МВФБР;0,07 - 0,12;0;0;6 - 8;0,5 - 1;0;0;0;0,7 - 1;0,15 - 0,4;0,3 - 0,5;до 0,025;до 0,025;0;0;0;0;0;0;0;~90;Класс: Сталь жаропрочная высоколегированная;Использование в промышленности: в энергетическом машиностроении - трубы и детали для длительной работы при температурах 600-620 град.
11Х11Н2В2МФ;0,09 - 0,13;до 0,6;до 0,6;10,5 - 12;1,5 - 1,8;0;0;1,6 - 2;0,35 - 0,5;0;0,18 - 0,3;до 0,025;до 0,03;0;0;0;0;0;0;0;~83;Класс: Сталь жаропрочная высоколегированная;"Использование в промышленности: нагруженные детали, длительно работающие при температурах до 600 °С.; сталь мартенситного класса"
12Х12МВФБР;0,1 - 0,15;до 0,5;0,5 - 1;11 - 13;0,5 - 1;0;0;0,55 - 0,85;0,7 - 1;0,15 - 0,3;0,15 - 0,3;до 0,025;до 0,025;0;0;0;0;0;0;0;~83;Класс: Сталь жаропрочная высоколегированная;Использование в промышленности: трубы для длительной работы при температурах до 630 град С.
12Х14Н14В2М;до 0,15;0,3 - 0,8;до 0,7;13 - 15;13 - 15;0;0;2 - 2,75;0,4 - 0,6;0;0;до 0,03;до 0,035;0;0;0;0;0;0;0;~67;Класс: Сталь жаропрочная высоколегированная;Использование в промышленности: трубы пароперегревателей, паропроводов и коллекторов для длительной службы при температурах до 550-650 град.
12Х25Н16Г7АР;до 0,12;до 1;5 - 7;23 - 26;15 - 18;0;0;0;0;0;0;до 0,02;до 0,035;0;0;0;0;0;0;0;47,815 - 57;Класс: сталь жаропрочная высоколегированная;Использование в промышленности: лист, проволока, трубы, лента, детали, работающие до 950 °С при умеренных напряжениях.
12Х2МВ8ФБ;0,07 - 0,12;0,4 - 0,7;0,4 - 0,7;2,1 - 2,6;до 0,5;0;0;7 - 8,5;0,5 - 0,7;0,8 - 1,2;0,2 - 0,35;до 0,025;до 0,025;0;0;0;0;0;0;0;~86;Класс: Сталь жаропрочная высоколегированная;Использование в промышленности: энергетическое машиностроение (трубы для длительной работы при температурах до 650 град.С)
12Х8ВФ;0,08 - 0,15;до 0,6;до 0,5;7,8 - 8,5;0;0;0;0,6 - 1;0;0;0,3 - 0,5;до 0,025;до 0,03;0;0;0;0;0;0;0;~89;Класс: Сталь жаропрочная высоколегированная;"Использование в промышленности: трубы печей, аппаратов и коммуникаций нефтезаводов, длительно работающие при температурах до 500 °С.; температура окалинообразования 650 °С.; сталь мартенситного класса"
13Х11Н2В2МФ;0,1 - 0,16;до 0,6;до 0,6;10,5 - 12;1,5 - 1,8;0;0;1,6 - 2;0,35 - 0,5;0;0,18 - 0,3;до 0,03;до 0,03;0;0;0;0;0;0;0;~83;Класс: Сталь жаропрочная высоколегированная;Использование в промышленности: различные детали газовых турбин, длительно работающие при температурах до 600 град.
13Х14Н3В2ФР;0,1 - 0,16;до 0,6;до 0,6;13 - 15;2,8 - 3,4;до 0,05;0;1,6 - 2,2;0;0;0,18 - 0,28;до 0,025;до 0,03;0;0;0;0;0;0;0;~79;Класс: Сталь жаропрочная высоколегированная;"Использование в промышленности: высоконагруженные детали, длительно работающие при температурах до 550 °С. в условиях повышенной влажности; температура окалинообразования 700 °С. ; сталь мартенситного класса"
15Х11МФ;0,12 - 0,19;до 0,5;до 0,7;10 - 11,5;до 0,6;0;0;0;0,6 - 0,8;0;0,25 - 0,4;до 0,025;до 0,03;до 0,3;0;0;0;0;0;0;~85;Класс: Сталь жаропрочная высоколегированная;"Использование в промышленности: турбинные лопатки, поковки,бандажи и др. детали, длительно работающие при температурах до 560 °С; температура окалинообразования 750 °С.; сталь мартенситного класса"
15Х12ВНМФ;0,12 - 0,18;до 0,4;0,5 - 0,9;11 - 13;0,4 - 0,8;до 0,2;0;0,7 - 1,1;0,5 - 0,7;0;0,15 - 0,3;до 0,025;до 0,03;до 0,3;0;0;0;0;0;0;~83;Класс: Сталь жаропрочная высоколегированная;"Использование в промышленности: лопатки,поковки, крепежные детали турбин для длительного срока службы при температурах до 580 °С; температура окалинообразования 750 °С. ; сталь мартенсито - ферритного класса"
15Х18СЮ;до 0,15;1 - 1,5;до 0,8;17 - 20;0;0;0,7 - 1,2;0;0;0;0;до 0,025;до 0,035;0;0;0;0;0;0;0;~78;Класс: Сталь жаропрочная высоколегированная;"Использование в промышленности: трубы пиролизных установок, аппаратура; сталь жаростойкая"
16Х11Н2В2МФ;0,14 - 0,18;до 0,6;до 0,6;10 - 12;1,4 - 1,8;0;0;1,6 - 2;0,35 - 0,5;0;0,18 - 0,3;до 0,025;до 0,03;0;0;0;0;0;0;0;~83;Класс: Сталь жаропрочная высоколегированная;Использование в промышленности: диски компрессора, лопатки и другие нагруженные детали
18Х11МНФБ;0,15 - 0,21;до 0,6;0,6 - 1;10 - 11,5;0,5 - 1;0;0;0;0,8 - 1,1;0,2 - 0,45;0,2 - 0,4;до 0,025;до 0,03;0;0;0;0;0;0;0;~85;Класс: Сталь жаропрочная высоколегированная;"Использование в промышленности: высоконагруженные детали паровых и газовых турбин, длительно работающие при температурах до 600 °С. ; сталь мартенситного класса"
18Х12ВМБФР;0,15 - 0,22;до 0,5;до 0,5;11 - 13;до 0,06;0;0;0,4 - 0,7;0,4 - 0,6;0,2 - 0,4;0,15 - 0,18;до 0,025;до 0,03;0;0;0;0;0;0;0;~85;Класс: Сталь жаропрочная высоколегированная;"Использование в промышленности: лопатки паровых турбин, трубы и крепежные детали для длительного срока службы при температурах до 620 град. ; сталь мартенсито - ферритного класса"
20Х12ВНМФ;0,17 - 0,23;до 0,6;0,5 - 0,9;10,5 - 12,5;0,5 - 0,9;0;0;0,7 - 1,1;0,5 - 0,7;0;0,15 - 0,3;до 0,025;до 0,03;0;0;0;0;0;0;0;~84;Класс: Сталь жаропрочная высоколегированная ;"Использование в промышленности: высоконагруженные детали паровых и газовых турбин, длительно работающие при температурах до 600 °С.; сталь мартенситного класса"
20Х12Н2В2МФ;0,09 - 0,13;до 0,6;до 0,6;10,5 - 12;1,5 - 1,8;0;0;1,6 - 2;0,35 - 0,5;0;0,18 - 0,3;до 0,025;до 0,03;0;0;0;0;0;0;0;~83;Класс: Сталь жаропрочная высоколегированная;Использование в промышленности: диски компрессора, лопатки и и другие нагруженные детали, длительно работающие при температуре до 600 град.
20Х20Н14С2;до 0,2;2 - 3;до 1,5;19 - 22;12 - 15;до 0,2;0;0;0;0;0;до 0,025;до 0,035;до 0,3;0;0;0;0;0;0;~61;Класс: Сталь жаропрочная высоколегированная;Использование в промышленности: печные конвейеры, ящики для цементации и другие детали термических печей.
20Х23Н13;до 0,2;до 1;до 2;22 - 25;12 - 15;до 0,2;0;0;0;0;0;до 0,025;до 0,035;до 0,3;0;0;0;0;0;0;~59;Класс: Сталь жаропрочная высоколегированная;Использование в промышленности: детали, работающие при высоких температурах в слабонагруженном состоянии. Сталь жаростойкая до 900—1000 °С
